IMSA_DecisionFinal,Applicant_ResponseFinal,IMSA_AcceptedApplicant,WAIVER,IMSA_Graduate,Race_text,IMSA_Graduate,ID_Person,Race_ISBE,IMSA_CurrentStudent,IMSA_AcceptedApplicant,IMSA_Applicant,IMSA_Attendee,Applicant_Year,Applicant_Response1,Applicant_Response2,Applicant_Response3,IMSA_DecisionFinal,IMSA_DecisionOriginal,Home_County,Home_City,Applicant_SATM,Applicant_SATCR,Applicant_SATW
NULL,NULL,No,NULL,NULL,,NULL,9180,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,McHenry,Algonquin,510,570,NULL
NULL,NULL,No,NULL,NULL,,NULL,16209,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,640,590,580
NULL,NULL,No,NULL,NULL,Asian,NULL,44093,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Lake,Antioch,590,570,470
NULL,NULL,No,NULL,NULL,,NULL,3153,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,McHenry,Algonquin,740,630,NULL
NULL,NULL,No,NULL,NULL,,NULL,43620,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Oak Park,470,480,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,43621,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,Elgin,500,460,460
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,15241,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,580,560,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, Black or African American",NULL,33801,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago Hts,450,440,NULL
NULL,NULL,No,NULL,NULL,,NULL,16247,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,Black or African American,NULL,43622,Black or African American,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Hazel Crest,450,490,490
NULL,NULL,No,NULL,NULL,,NULL,16255,Not Reported,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Will,Naperville,690,700,NULL
NULL,NULL,No,NULL,NULL,,NULL,1411,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,570,610,560
NULL,NULL,No,NULL,NULL,,NULL,16264,Not Reported,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Will,Naperville,540,490,NULL
NULL,NULL,No,NULL,NULL,,NULL,16269,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Chicago,700,740,640
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,30521,Two or More Races,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,Waitlist,DuPage,Lemont,660,630,630
NULL,NULL,Yes,NULL,No,White,No,16271,White,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Prospect Hts,670,690,660
Yes,Accept,Yes,NULL,No,White,No,16271,White,Yes,Yes,Yes,Yes,2014,Accept,NULL,NULL,Yes,Waitlist,Cook,Prospect Hts,710,640,NULL
NULL,NULL,No,NULL,NULL,,NULL,16273,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,NULL,NULL,NULL
